"iucn_category","pa_cat_main","pa_cat_sup"
"II","Highly Restricted","Highly Restricted"
"NONE","None","None"
"Ia","Highly Restricted","Highly Restricted"
"IV","Restricted","Highly Restricted"
"Ib","Highly Restricted","Highly Restricted"
"VI","Restricted","Restricted"
"V","Restricted","Restricted"
"III","Restricted","Highly Restricted"
